round,client,result_type,num_examples,client_file,client_id,accuracy,f1,loss,auroc,other_metrics
0,8.012411928552773e+18,fit,6467,,,,,,,
1,1.0274171740502604e+19,evaluate,3071,,,,,,,
1,1.508122966689994e+19,fit,8400,,,,,,,
2,1.3359106281248537e+19,evaluate,18832,,,,,,,
0,,fit,18832,10666894941019085636,10666894941019085636,,,,,
0,,fit,8400,14150568996089723089,14150568996089723089,,,,,
0,,fit,6467,4070999098618999054,4070999098618999054,,,,,
0,,fit,6424,13427005466743588369,13427005466743588369,,,,,
0,,fit,3071,3202837749427843527,3202837749427843527,,,,,
0,,fit,11523,12811023439956600511,12811023439956600511,,,,,
1,,evaluate,6424,13427005466743588369,13427005466743588369,,,,,
1,,evaluate,18832,10666894941019085636,10666894941019085636,,,,,
1,,evaluate,11523,12811023439956600511,12811023439956600511,,,,,
1,,evaluate,3071,3202837749427843527,3202837749427843527,,,,,
1,,evaluate,6467,4070999098618999054,4070999098618999054,,,,,
1,,evaluate,8400,14150568996089723089,14150568996089723089,,,,,
1,,fit,8400,14150568996089723089,14150568996089723089,,,,,
1,,fit,6467,4070999098618999054,4070999098618999054,,,,,
1,,fit,18832,10666894941019085636,10666894941019085636,,,,,
1,,fit,6424,13427005466743588369,13427005466743588369,,,,,
1,,fit,3071,3202837749427843527,3202837749427843527,,,,,
1,,fit,11523,12811023439956600511,12811023439956600511,,,,,
2,,evaluate,18832,10666894941019085636,10666894941019085636,,,,,
2,,evaluate,11523,12811023439956600511,12811023439956600511,,,,,
2,,evaluate,8400,14150568996089723089,14150568996089723089,,,,,
2,,evaluate,6467,4070999098618999054,4070999098618999054,,,,,
2,,evaluate,6424,13427005466743588369,13427005466743588369,,,,,
2,,evaluate,3071,3202837749427843527,3202837749427843527,,,,,
0,,fit,6424,16094841549511242733,16094841549511242733,,,,,
0,,fit,3071,9083681140084743331,9083681140084743331,,,,,
0,,fit,11523,7350056553844268685,7350056553844268685,,,,,
0,,fit,18832,4695404338441125935,4695404338441125935,,,,,
0,,fit,6467,17008412169220421418,17008412169220421418,,,,,
0,,fit,8400,12973810277094079275,12973810277094079275,,,,,
1,,evaluate,11523,7350056553844268685,7350056553844268685,,,,,
1,,evaluate,8400,12973810277094079275,12973810277094079275,,,,,
1,,evaluate,6424,16094841549511242733,16094841549511242733,,,,,
1,,evaluate,6467,17008412169220421418,17008412169220421418,,,,,
1,,evaluate,3071,9083681140084743331,9083681140084743331,,,,,
1,,evaluate,18832,4695404338441125935,4695404338441125935,,,,,
1,,fit,6467,17008412169220421418,17008412169220421418,,,,,
1,,fit,11523,7350056553844268685,7350056553844268685,,,,,
1,,fit,3071,9083681140084743331,9083681140084743331,,,,,
1,,fit,18832,4695404338441125935,4695404338441125935,,,,,
1,,fit,6424,16094841549511242733,16094841549511242733,,,,,
1,,fit,8400,12973810277094079275,12973810277094079275,,,,,
2,,evaluate,6467,17008412169220421418,17008412169220421418,,,,,
2,,evaluate,6424,16094841549511242733,16094841549511242733,,,,,
2,,evaluate,11523,7350056553844268685,7350056553844268685,,,,,
2,,evaluate,18832,4695404338441125935,4695404338441125935,,,,,
2,,evaluate,3071,9083681140084743331,9083681140084743331,,,,,
2,,evaluate,8400,12973810277094079275,12973810277094079275,,,,,
1,,evaluate,11523,China_overall.csv,3020273695626812202,0.7224681072637335,0.279189498126663,1.0508862257003784,0.531842892242337,
1,,evaluate,6424,Denmark_overall.csv,11869793894311388393,0.7462640099626401,0.3147080776111969,1.021367359161377,0.5376430245396318,
1,,evaluate,8400,Mexico_overall.csv,5732398442317622762,0.2588095238095238,0.1657420380799792,1.0960843563079834,0.4657625041809984,
1,,evaluate,3071,India_overall.csv,13673805273369218011,0.0416802344513187,0.0274076650229528,1.1221524000167846,0.5522747079208185,
1,,evaluate,18832,UK_overall.csv,1256821894249302312,0.0456669498725573,0.0290460689227573,1.147673535346985,0.5291674922925926,
1,,evaluate,6467,Paraguay_overall.csv,15928006027452195026,0.3387969692283903,0.1682998525496029,1.0993703126907348,0.4827611844256662,
2,,evaluate,6424,Denmark_overall.csv,11869793894311388393,0.7462640099626401,0.3102127089914359,1.0180160760879515,0.5591997233960583,
2,,evaluate,3071,India_overall.csv,13673805273369218011,0.0371214588082058,0.0236207123453114,1.1241453647613526,0.5564790574274937,
2,,evaluate,8400,Mexico_overall.csv,5732398442317622762,0.2996428571428571,0.1924301261133697,1.096454119682312,0.4946287133952358,
2,,evaluate,6467,Paraguay_overall.csv,15928006027452195026,0.3415803309107778,0.1709953812255458,1.100077748298645,0.514186919551851,
2,,evaluate,18832,UK_overall.csv,1256821894249302312,0.0449766355140186,0.0284517493747972,1.148447060585022,0.5566167984048676,
2,,evaluate,11523,China_overall.csv,3020273695626812202,0.7224681072637335,0.279189498126663,1.049742436408997,0.5441858660152229,
1,,evaluate,3071,India_overall.csv,7968433594047658313,0.8817974601107131,0.3672252700395709,1.0159368753433229,0.568069231337346,
1,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0371428571428571,0.0282627158002529,1.1029438495635986,0.5309556519966347,
1,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3370960259780424,0.1674975267546471,1.096041464805603,0.4315420968840402,
1,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7497875955819882,0.2845189867894147,1.0269044637680054,0.5405320311312876,
1,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.3203611457036114,0.2068687729267466,1.0757089614868165,0.5068920605434911,
1,,evaluate,11523,China_overall.csv,6993166057295168953,0.3334201162891608,0.2390019760309039,1.0983328342437744,0.5291724210195463,
2,,evaluate,11523,China_overall.csv,6993166057295168953,0.3493013972055888,0.2526136590261122,1.098039960861206,0.5516618702766636,
2,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3366321323643111,0.1671108713757493,1.094622015953064,0.4537304728185834,
2,,evaluate,3071,India_overall.csv,7968433594047658313,0.8876587430804298,0.5025444040734456,1.0125286340713502,0.5642409406706507,
2,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7492034834324554,0.2844036454430078,1.026013195514679,0.5510147795971989,
2,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0523809523809523,0.0442360469142697,1.1038379192352294,0.5414807604243621,
2,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.3044831880448319,0.1961728799462188,1.0784477233886718,0.5095577393094425,
3,,evaluate,18832,UK_overall.csv,9490187993663440211,0.7492565845369583,0.2844109952200849,1.02545907497406,0.5518309744297119,
3,,evaluate,8400,Mexico_overall.csv,12689485060908718005,0.0734523809523809,0.0587376538286603,1.1022147417068482,0.5646597012914577,
3,,evaluate,6467,Paraguay_overall.csv,3123866886184336796,0.3377145507963507,0.1684189546541785,1.095166563987732,0.4578696563334614,
3,,evaluate,6424,Denmark_overall.csv,18332747813055081962,0.3170921544209215,0.2031886296824517,1.0788002490997315,0.5136906771419097,
3,,evaluate,11523,China_overall.csv,6993166057295168953,0.3546819404668923,0.2600481563232814,1.0982953548431396,0.562849699344578,
3,,evaluate,3071,India_overall.csv,7968433594047658313,0.8892868772386845,0.5018006929662958,1.0096794366836548,0.5331641714959537,
