country,accuracy_mean,f1_mean,loss_mean,auroc_mean
China_overall,0.368394,0.279511,1.099442,0.60819
China_overall.csv,0.396128,0.273729,1.094044,0.583762
Denmark_overall,0.294209,0.178813,1.079385,0.528573
Denmark_overall.csv,0.339936,0.199539,1.074205,0.521149
India_overall,0.887333,0.359203,1.009888,0.523424
India_overall.csv,0.817184,0.410053,1.018731,0.532386
Mexico_overall,0.116786,0.093004,1.103407,0.588327
Mexico_overall.csv,0.094691,0.072569,1.102576,0.568412
Paraguay_overall,0.343591,0.175101,1.094905,0.507976
Paraguay_overall.csv,0.340606,0.171721,1.095432,0.475125
UK_overall,0.747292,0.287595,1.02271,0.562226
UK_overall.csv,0.690506,0.26414,1.034791,0.553135
